CIF_NO,MONTH,total_income,total_expense,total_debt_payment,count_income,count_expense,count_debt_payment,net_cashflow,total_transactions
10000011,2025-02,15960000,23538691,4873154,2,64,23,-12451845,89
10000011,2025-03,200835000,75812519,7962773,17,112,26,117059708,155
10000011,2025-04,150755000,14042000,6689000,12,39,12,130024000,63
10000011,2025-05,116494000,50266281,10737000,8,68,15,55490719,91
10000011,2025-06,14323000,3201516,581000,4,66,15,10540484,85
10000012,2025-01,145077583,40026850,8281000,16,64,20,96769733,100
10000012,2025-02,168938000,33121000,602794,11,70,8,135214206,89
10000012,2025-03,58654000,16168000,7435588,7,62,23,35050412,92
10000012,2025-04,97056000,26301702,2843000,9,85,16,67911298,110
10000012,2025-05,224376000,56990108,12593000,19,63,14,154792892,96
10000012,2025-06,107383000,11321462,1238000,11,49,10,94823538,70
10000013,2025-01,120919000,64877647,8611000,16,74,19,47430353,109
10000013,2025-02,76185000,29510006,9298706,8,59,11,37376288,78
10000013,2025-03,26165000,29897742,4260000,5,51,18,-7992742,74
10000013,2025-04,131622000,19183000,3049000,14,75,23,109390000,112
10000013,2025-05,24999000,23869298,5349000,5,77,29,-4219298,111
10000013,2025-06,71106916,23744847,5025000,8,43,15,42337069,66
10000014,2025-01,99166000,41242529,3397894,12,98,18,54525577,130
10000014,2025-02,173224000,85101000,9995000,16,63,13,78128000,92
10000014,2025-03,227667254,52763030,6550000,20,68,14,168354224,102
10000014,2025-04,70425000,8813842,838000,10,45,9,60773158,64
10000014,2025-05,198461062,35149519,15262000,21,43,27,148049543,91
10000014,2025-06,111580000,30979609,5322000,10,56,25,75278391,92
10000015,2025-01,48867328,38216440,5526000,5,99,29,5124888,133
10000015,2025-02,58045000,14945000,5122746,8,73,21,37977254,102
10000015,2025-03,121410799,17509431,12826465,15,67,31,91074903,113
10000015,2025-04,149003000,16605850,8325000,13,71,25,124072150,111
10000015,2025-05,121240508,68450904,17121324,8,67,23,35668280,98
10000015,2025-06,143431111,8083372,2283931,12,57,21,133063808,90
10000016,2025-01,114641000,27693000,15686878,12,66,40,71261122,118
10000016,2025-02,37607000,13276723,3813000,6,45,11,20517277,62
10000016,2025-03,112855000,5912033,1454000,13,47,19,105488967,79
10000016,2025-04,135020000,55578784,8773000,12,62,18,70668216,92
10000016,2025-05,219348000,62641094,5275000,17,78,17,151431906,112
10000016,2025-06,132745260,7403778,1537000,13,54,6,123804482,73
10000017,2025-01,184857742,43390396,5899000,17,57,15,135568346,89
10000017,2025-02,126782000,22362096,8486000,13,57,17,95933904,87
10000017,2025-03,162133000,7792486,1678000,12,58,12,152662514,82
10000017,2025-04,103400000,71075720,8223765,15,77,17,24100515,109
10000017,2025-05,33995893,53843363,7549000,2,89,38,-27396470,129
10000017,2025-06,130028000,28872814,3772000,16,93,14,97383186,123
10000018,2025-01,156895000,92419958,9559965,14,88,17,54915077,119
10000018,2025-02,103372000,18454892,1648000,8,56,10,83269108,74
10000018,2025-03,69685000,46904873,9795000,6,57,14,12985127,77
10000018,2025-04,92552000,20631831,2958000,11,75,24,68962169,113
10000018,2025-05,78657000,54311448,22458406,14,92,29,1887146,135
10000018,2025-06,111001000,65495162,5958000,9,61,13,39547838,83
10000019,2025-01,230815000,41564512,14648088,23,90,29,174602400,142
10000019,2025-02,119502000,35790320,12020000,12,39,13,71691680,64
10000019,2025-03,174549000,45135415,9211303,18,84,24,120202282,126
10000019,2025-04,71826000,7748007,2090780,8,62,12,61987213,83
10000019,2025-05,41482000,19297537,2846000,8,69,24,19338463,102
10000019,2025-06,157361000,37934340,10755628,16,77,28,108671032,121
10000020,2025-01,185208000,26380832,7181000,18,63,15,151646168,96
10000020,2025-02,80755000,49284895,8450334,11,89,22,23019771,122
10000020,2025-03,224326444,61204000,10879501,18,67,39,152242943,124
10000020,2025-04,139415354,13000943,1196000,12,56,11,125218411,79
10000020,2025-05,25578000,12282324,1236000,3,64,15,12059676,82
10000020,2025-06,218739000,34782000,11089876,20,67,17,172867124,104
10000021,2025-01,198360000,38325538,8344144,18,82,24,151690318,124
10000021,2025-02,117116000,11463894,958000,10,44,6,104694106,60
10000021,2025-03,227657958,23699000,2951000,20,57,11,201007958,88
10000021,2025-04,154690000,29639777,8663000,14,42,20,116387223,76
10000021,2025-05,34871000,11408880,1137688,5,57,18,22324432,80
10000021,2025-06,243269000,11787332,5046344,21,50,8,226435324,81
10000022,2025-01,44276000,11728948,883627,4,57,16,31663425,77
10000022,2025-02,153122000,45357855,6944000,17,51,14,100820145,82
10000022,2025-03,103469000,6493765,670000,12,75,13,96305235,100
10000022,2025-04,174234000,21895000,19998000,13,41,21,132341000,75
10000022,2025-05,30055000,15346287,2468000,3,53,15,12240713,71
10000022,2025-06,59245656,15710338,3513000,7,78,26,40022318,111
10000023,2025-01,385343000,46257850,24862000,26,63,22,314223150,111
10000023,2025-02,76569000,36242152,3032000,6,68,13,37294848,89
10000023,2025-03,45621000,12374000,7791486,4,55,19,25455514,78
10000023,2025-04,207329000,12593148,2357489,17,83,7,192378363,107
10000023,2025-05,137516000,19478113,1325000,10,75,16,116712887,101
10000023,2025-06,80895000,12263925,1799000,16,74,23,66832075,113
10000024,2025-01,114198000,73164101,15112000,10,96,38,25921899,148
10000024,2025-02,68654000,10227452,7883897,8,74,32,50542651,114
10000024,2025-03,146602000,48841169,1976808,12,80,14,95784023,106
10000024,2025-04,46051000,29614000,5410000,10,48,10,11027000,68
10000024,2025-05,108842062,45856000,2839000,9,36,12,60147062,57
10000024,2025-06,68836909,6968923,2083796,8,34,19,59784190,61
10000025,2025-01,199463000,35091039,16364967,17,88,35,148006994,140
10000025,2025-02,113434000,11227580,988000,16,42,16,101218420,74
10000025,2025-03,43930326,17097000,1429000,8,74,19,25404326,102
10000025,2025-04,51883000,31383074,4640676,5,64,20,15859250,89
10000025,2025-05,79074000,11821399,2552000,9,83,19,64700601,111
10000025,2025-06,106995000,40130000,10224550,7,86,21,56640450,114
10000026,2025-01,52367234,22792460,2207000,4,106,20,27367774,130
10000026,2025-02,215683657,44918000,10624000,19,54,11,160141657,84
10000026,2025-03,78901798,37349058,6004000,8,60,14,35548740,82
10000026,2025-04,213053859,38078186,10660248,20,64,23,164315425,108
10000026,2025-05,47188000,9611790,1049432,6,66,8,36526778,80
10000026,2025-06,192749474,52878000,18479488,18,78,13,121391986,109
10000027,2025-01,37372000,12401022,2224000,4,65,18,22746978,87
10000027,2025-02,8591000,48204568,4401000,3,90,21,-44014568,114
10000027,2025-03,75478000,15586884,4586013,8,65,23,55305103,96
10000027,2025-04,88312000,12900950,3236000,7,57,15,72175050,79
10000027,2025-05,89366000,5150201,981039,10,36,12,83234760,58
10000027,2025-06,69766000,28980309,1001000,6,77,13,39784691,96
10000028,2025-01,260124646,11643044,855000,21,75,14,247626602,110
10000028,2025-02,143933792,22234518,4082000,11,83,15,117617274,109
10000028,2025-03,8558000,13671034,11599000,4,49,34,-16712034,87
10000028,2025-04,257241000,2852960,569000,16,49,10,253819040,75
10000028,2025-05,47530014,16217000,6182000,5,38,15,25131014,58
10000028,2025-06,132951000,80342000,21620000,11,56,23,30989000,90
10000029,2025-01,105279000,7284656,3071000,11,54,19,94923344,84
10000029,2025-02,98333372,22819559,6473000,9,41,19,69040813,69
10000029,2025-03,77571000,29214038,5463000,12,90,21,42893962,123
10000029,2025-04,25458000,2324000,705000,2,55,27,22429000,84
10000029,2025-05,160157125,21310704,5845000,16,69,25,133001421,113
10000029,2025-06,185112529,70623017,9943619,22,87,15,104545893,124
10000030,2025-01,60628898,13105788,4270000,7,56,22,43253110,85
10000030,2025-02,54391000,19419000,1673000,9,58,9,33299000,77
10000030,2025-03,111317686,27979083,6471987,10,59,22,76866616,91
10000030,2025-04,90010000,30662000,2199000,16,48,8,57149000,72
10000030,2025-05,192097320,28979342,5060245,19,51,10,158057733,80
10000030,2025-06,66515000,40901000,2958000,11,97,21,22656000,129
10000031,2025-01,78339350,7628154,358000,11,68,9,70353196,88
10000031,2025-02,110872000,22288089,3696645,16,93,31,84887266,140
10000031,2025-03,15774000,40685000,5071766,3,65,17,-29982766,85
10000031,2025-04,71609000,26751582,3743641,12,85,13,41113777,110
10000031,2025-05,129464000,26689000,10848000,16,75,21,91927000,112
10000031,2025-06,75206000,4743000,4759000,9,62,13,65704000,84
10000032,2025-01,248623000,29865733,8267000,18,63,19,210490267,103
10000032,2025-02,208273008,25149000,12638574,17,28,19,170485434,64
10000032,2025-03,174599000,52108574,6114391,17,84,31,116376035,132
10000032,2025-04,217385000,38588000,2986000,18,59,9,175811000,86
10000032,2025-05,102690000,35420653,3089000,11,62,13,64180347,86
10000032,2025-06,123969000,9164715,1751000,11,49,8,113053285,68
10000033,2025-01,177007753,23836046,2766570,10,71,22,150405137,106
10000033,2025-02,81010000,12192610,1914000,9,61,16,66903390,86
10000033,2025-03,77400000,30843382,5990000,8,92,19,40566618,120
10000033,2025-04,83530000,25961342,6728000,10,59,20,50840658,89
10000033,2025-05,140929000,61935742,16190053,9,97,20,62803205,126
10000033,2025-06,57759000,4954712,395688,7,65,11,52408600,83
10000034,2025-01,66108000,15135234,4263607,9,71,26,46709159,106
10000034,2025-02,73494000,39057272,8890360,10,93,19,25546368,122
10000034,2025-03,302880430,66736141,10028961,26,83,16,226115328,125
10000034,2025-04,64581000,41351712,17724000,5,73,32,5505288,110
10000034,2025-05,106705864,24545000,3222000,9,62,22,78938864,93
10000034,2025-06,118371000,18330000,4815000,10,27,18,95226000,55
10000035,2025-01,169894000,50865000,7556000,15,65,9,111473000,89
10000035,2025-02,110118000,13719854,6650000,7,39,21,89748146,67
10000035,2025-03,199068275,49711654,11798809,13,77,26,137557812,116
10000035,2025-04,167621000,62370308,13052000,14,71,22,92198692,107
10000035,2025-05,147320000,54450000,1071000,16,41,3,91799000,60
10000035,2025-06,137536000,50703312,9383222,12,90,22,77449466,124
10000036,2025-01,158111000,39854861,3990402,16,108,10,114265737,134
10000036,2025-02,94481000,41203674,1315374,8,64,18,51961952,90
10000036,2025-03,109944000,29305384,2608000,17,101,15,78030616,133
10000036,2025-04,106048000,11768596,3008000,9,62,17,91271404,88
10000036,2025-05,183036000,68960992,8270349,15,81,22,105804659,118
10000036,2025-06,87967028,16159229,6301000,8,54,26,65506799,88
10000037,2025-01,300023000,11398314,1811601,19,60,16,286813085,98
10000037,2025-02,93070999,56066855,6265000,8,60,9,30739144,77
10000037,2025-03,184821000,59920789,8417000,14,63,13,116483211,90
10000037,2025-04,141960889,5985893,2917000,9,28,14,133057996,51
10000037,2025-05,136411000,33829534,5183000,12,53,13,97398466,78
10000037,2025-06,165153000,58222619,8114000,12,81,13,98816381,106
10000038,2025-01,136180141,27988212,3889000,17,64,10,104302929,91
10000038,2025-02,137096000,47494000,21182264,12,64,22,68419736,98
10000038,2025-03,131311001,56371559,3413000,11,64,25,71526442,100
10000038,2025-04,181155000,59412570,12255000,13,68,18,109487430,99
10000038,2025-05,122939000,17655593,2167000,9,59,21,103116407,90
10000038,2025-06,172108022,44093732,10734000,19,78,19,117280290,116
10000039,2025-01,215654000,52718038,6737297,13,93,22,156198665,128
10000039,2025-02,170532000,68385000,19426356,13,53,12,82720644,78
10000039,2025-03,225643766,41594872,4895000,16,74,17,179153894,107
10000039,2025-04,171763000,30808256,9932000,11,63,21,131022744,95
10000039,2025-05,86506000,17170761,5724000,11,54,14,63611239,79
10000039,2025-06,63237000,18180586,6061000,6,77,14,38995414,97
10000040,2025-01,287328778,65079068,16209000,23,83,31,206040710,137
10000040,2025-02,20537000,28406331,4300000,6,85,19,-12169331,110
10000040,2025-03,151405000,49815900,11749582,16,97,18,89839518,131
10000040,2025-04,120784000,35066000,8472000,11,48,12,77246000,71
10000040,2025-05,177341000,48838743,9960000,15,64,29,118542257,108
10000040,2025-06,53796000,21146000,7063000,6,46,17,25587000,69
10000041,2025-01,105865000,16403868,889000,13,76,20,88572132,109
10000041,2025-02,60013000,20000587,12108318,7,45,22,27904095,74
10000041,2025-03,84574000,18382799,1675000,10,84,17,64516201,111
10000041,2025-04,135345000,43701368,10307000,10,76,22,81336632,108
10000041,2025-05,139957000,80885142,10732000,12,84,18,48339858,114
10000041,2025-06,125060225,34309104,8615000,17,70,33,82136121,123
10000042,2025-01,55371000,16731068,4058000,5,51,19,34581932,75
10000042,2025-02,79334000,25649000,2799000,12,52,14,50886000,78
10000042,2025-03,84536000,17281986,383000,8,71,13,66871014,92
10000042,2025-04,28013000,25382000,3511698,3,69,13,-880698,85
10000042,2025-05,121644000,44662913,3301845,13,75,26,73679242,114
10000042,2025-06,120019398,38443987,4741000,10,74,27,76834411,111
10000043,2025-01,126356000,57030000,17027110,13,102,42,52298890,158
10000043,2025-02,152312883,30337184,14562000,12,57,22,107413699,91
10000043,2025-03,57774000,8176754,173000,8,68,10,49424246,86
10000043,2025-04,105415307,5779454,823886,11,50,11,98811967,72
10000043,2025-05,51116000,15385272,2241000,10,74,18,33489728,102
10000043,2025-06,262882000,42405497,9383000,21,67,25,211093503,113
10000044,2025-01,164073000,78039000,15632866,17,107,36,70401134,160
10000044,2025-02,48092000,43848838,8471581,6,70,24,-4228419,100
10000044,2025-03,39340000,4702015,1444000,4,62,13,33193985,79
10000044,2025-04,18166000,9630545,3137903,3,58,19,5397552,80
10000044,2025-05,75961000,19010000,3891000,10,65,24,53060000,99
10000044,2025-06,49528000,47910050,2954000,5,78,21,-1336050,104
10000045,2025-01,310178000,85978500,9376000,23,92,24,214823500,139
10000045,2025-02,33477000,38821187,6290000,3,71,20,-11634187,96
10000045,2025-03,167398000,53382000,11171576,18,55,20,102844424,93
10000045,2025-04,29174000,39747752,5994000,4,53,9,-16567752,66
10000045,2025-05,62787000,28080000,17031000,11,65,31,17676000,107
10000045,2025-06,94172523,45516089,7658000,10,84,26,40998434,121
10000046,2025-01,221461000,71280922,8846517,22,89,18,141333561,129
10000046,2025-02,213236000,51923742,5884000,17,83,17,155428258,117
10000046,2025-03,159521000,41905753,17852000,17,76,30,99763247,123
10000046,2025-04,139081000,40487378,3985000,10,72,20,94608622,102
10000046,2025-05,67353000,34650443,11775222,8,53,20,20927335,81
10000046,2025-06,111531000,31084000,4986000,11,84,19,75461000,114
10000047,2025-01,89704000,23143182,6560755,10,91,25,60000063,126
10000047,2025-02,33954000,47260540,3939421,3,83,13,-17245961,99
10000047,2025-03,141740767,30472289,9074638,14,91,28,102193840,133
10000047,2025-04,190500000,33454664,8489462,14,65,17,148555874,96
10000047,2025-05,88809000,32900071,8239000,6,83,29,47669929,118
10000047,2025-06,99864000,38610740,12972248,12,58,28,48281012,98
10000048,2025-01,153232000,62136578,8051898,12,72,23,83043524,107
10000048,2025-02,40642256,26624000,3459420,6,62,22,10558836,90
10000048,2025-03,130290000,43474304,1579000,14,85,15,85236696,114
10000048,2025-04,78161000,37347741,2784468,7,83,23,38028791,113
10000048,2025-05,187359000,30708138,1889000,15,55,15,154761862,85
10000048,2025-06,133835000,95906512,15430678,12,98,26,22497810,136
10000049,2025-01,152208932,32570000,15472688,12,70,32,104166244,114
10000049,2025-02,113995000,24099909,1782000,17,55,7,88113091,79
10000049,2025-03,27823000,5429846,1005000,11,45,18,21388154,76
10000049,2025-04,102565295,7397000,1788000,11,66,14,93380295,91
10000049,2025-05,81794469,40766504,7367464,9,60,20,33660501,89
10000049,2025-06,76490832,29446736,1936000,8,77,24,45108096,109
10000050,2025-01,275651335,32848000,4807255,16,50,15,237996080,81
10000050,2025-02,253681445,44346968,24934534,22,36,18,184399943,76
10000050,2025-03,79505000,58022000,3190000,11,61,11,18293000,83
10000050,2025-04,107633000,9649900,1479000,17,57,15,96504100,89
10000050,2025-05,119946627,34520698,5204111,14,88,23,80221818,125
10000050,2025-06,96206000,5837000,2817763,12,46,24,87551237,82
10000051,2025-01,243117000,24707000,10084000,24,40,18,208326000,82
10000051,2025-02,239970000,39934375,3674000,24,89,16,196361625,129
10000051,2025-03,131772000,22400517,5841000,13,74,22,103530483,109
10000051,2025-04,73903534,25359974,160000,7,53,5,48383560,65
10000051,2025-05,95251000,6576856,1590000,12,38,19,87084144,69
10000051,2025-06,125148000,8088000,12847000,16,38,22,104213000,76
10000052,2025-01,202750980,50226000,2619915,18,95,19,149905065,134
10000052,2025-02,85890000,20670000,3800455,9,43,6,61419545,58
10000052,2025-03,96414000,4155956,1409000,9,60,14,90849044,83
10000052,2025-04,50682479,9922000,5047544,8,71,28,35712935,107
10000052,2025-05,65704000,12576312,7523024,6,52,25,45604664,83
10000052,2025-06,165081000,43215106,21832000,17,74,17,100033894,108
10000053,2025-01,87940000,11984849,1280000,7,42,20,74675151,69
10000053,2025-02,168747000,25631981,3648402,13,56,20,139466617,89
10000053,2025-03,65773000,42148000,5089198,7,49,15,18535802,71
10000053,2025-04,88435000,17037549,3198000,8,58,15,68199451,81
10000053,2025-05,135861000,26125708,6217000,12,72,16,103518292,100
10000053,2025-06,172926378,14625000,1937000,14,39,12,156364378,65
10000054,2025-01,34165000,18425705,1943000,6,65,6,13796295,77
10000054,2025-02,92842000,22512735,2915000,6,69,10,67414265,85
10000054,2025-03,164822016,24885314,7750000,17,73,29,132186702,119
10000054,2025-04,110832217,10369213,1163000,10,54,9,99300004,73
10000054,2025-05,53050000,23875482,2830000,7,92,15,26344518,114
10000054,2025-06,84743000,28901805,10008929,6,78,25,45832266,109
10000055,2025-01,127690620,15852000,2237000,16,67,20,109601620,103
10000055,2025-02,101684000,32032335,2323000,9,78,17,67328665,105
10000055,2025-03,78058000,18616643,6327000,8,90,22,53114357,120
10000055,2025-04,64744000,20313000,7993000,7,44,12,36438000,63
10000055,2025-05,127962000,23112754,4613224,10,53,18,100236022,81
10000055,2025-06,209712000,34720000,4555748,24,60,17,170436252,101
10000056,2025-01,58638410,15179000,2189370,4,66,16,41270040,86
10000056,2025-02,52955000,40448000,1871724,6,76,17,10635276,99
10000056,2025-03,187801764,43030619,6234000,17,69,18,138537145,104
10000056,2025-04,124280000,54631000,22529617,13,71,19,47119383,103
10000056,2025-05,96480000,21864538,5400000,8,45,14,69215462,67
10000056,2025-06,43200000,30937000,9023000,9,47,16,3240000,72
10000057,2025-01,130519000,8182998,5423000,14,52,24,116913002,91
10000057,2025-02,84921000,4744999,2640568,6,59,15,77535433,80
10000057,2025-03,74300372,53447936,17271000,9,58,17,3581436,84
10000057,2025-04,134583000,43767466,4211000,11,93,18,86604534,123
10000057,2025-05,196529455,51179466,13440000,16,55,28,131909989,99
10000057,2025-06,175707000,59502820,7720086,15,103,16,108484094,134
10000058,2025-01,108042788,7827000,1208468,14,67,15,99007320,96
10000058,2025-02,18369000,13728000,3008000,5,58,21,1633000,84
10000058,2025-03,115804000,20871976,6104272,13,70,22,88827752,105
10000058,2025-04,149143269,35242734,1320000,11,78,9,112580535,98
10000058,2025-05,145038000,45098000,7020902,17,71,23,92919098,111
10000058,2025-06,129701000,38072772,8913595,16,73,29,82714633,118
10000059,2025-01,121935000,71589092,8644000,10,62,14,41701908,86
10000059,2025-02,66963000,18697018,3474000,12,47,12,44791982,71
10000059,2025-03,110973000,5869000,1806000,9,47,19,103298000,75
10000059,2025-04,84229000,23092198,2720555,6,62,20,58416247,88
10000059,2025-05,44531000,46276027,2214000,7,67,8,-3959027,82
10000059,2025-06,130737000,35313510,5859688,10,93,25,89563802,128
10000060,2025-01,229473086,84449844,10206000,18,84,14,134817242,116
10000060,2025-02,74343000,24725162,7373000,11,68,25,42244838,104
10000060,2025-03,162544000,16358814,4882000,16,58,21,141303186,95
10000060,2025-04,62470000,25178265,3364390,6,87,19,33927345,112
10000060,2025-05,59169100,18347337,4401000,6,81,26,36420763,113
10000060,2025-06,61554000,19154000,1596000,6,38,8,40804000,52
10000061,2025-01,221864000,100667722,26507000,16,65,24,94689278,105
10000061,2025-02,27171899,36442574,9994000,4,64,18,-19264675,86
10000061,2025-03,74051000,8771264,1393000,7,67,12,63886736,86
10000061,2025-04,56408000,15323554,6883947,5,58,24,34200499,87
10000061,2025-05,61410962,47587000,5430000,7,63,16,8393962,86
10000061,2025-06,150501062,62452128,14417032,11,52,21,73631902,84
10000062,2025-01,223032987,63718952,15618848,15,80,30,143695187,125
10000062,2025-02,70865760,52462634,4394712,8,77,32,14008414,117
10000062,2025-03,119093000,20164898,5989000,12,49,20,92939102,81
10000062,2025-04,197171000,43185089,6607000,18,50,10,147378911,78
10000062,2025-05,192755498,49474411,31659000,16,65,17,111622087,98
10000062,2025-06,154838182,65494000,9536000,16,106,24,79808182,146
10000063,2025-01,117888000,65646000,6753857,14,69,12,45488143,95
10000063,2025-02,57948000,25494758,4062000,7,52,8,28391242,67
10000063,2025-03,167409612,19747229,2722159,21,56,14,144940224,91
10000063,2025-04,63813000,30088651,5845434,7,55,12,27878915,74
10000063,2025-05,63258000,35204000,5321068,7,68,16,22732932,91
10000063,2025-06,174655000,29272831,5558000,15,75,24,139824169,114
10000064,2025-01,159649000,58604336,6927000,15,80,26,94117664,121
10000064,2025-02,164205000,83268747,11020000,15,95,21,69916253,131
10000064,2025-03,81600000,28518527,4540854,13,73,16,48540619,103
10000064,2025-04,202197000,29276973,4656918,18,83,19,168263109,120
10000064,2025-05,156445000,37613535,4791000,15,67,16,114040465,98
10000064,2025-06,128957000,32295807,5300670,14,59,15,91360523,88
10000065,2025-01,132820000,55188678,16635000,11,74,20,60996322,105
10000065,2025-02,47444000,21097942,6725540,9,75,29,19620518,113
10000065,2025-03,169832000,50518238,18716000,16,71,25,100597762,113
10000065,2025-04,51570000,15722719,741000,8,42,9,35106281,60
10000065,2025-05,96404000,15374732,1455000,8,55,15,79574268,78
10000065,2025-06,165953419,32331487,6583000,18,69,15,127038932,102
10000066,2025-01,88475000,28220560,9025352,8,86,22,51229088,116
10000066,2025-02,128359000,69830574,7567000,13,66,21,50961426,100
10000066,2025-03,89653747,34105000,3672730,7,68,32,51876017,107
10000066,2025-04,123689000,12997062,1645746,11,73,15,109046192,99
10000066,2025-05,82426632,7652555,1270000,11,53,14,73504077,78
10000066,2025-06,159590000,35202000,4931000,14,62,16,119457000,93
10000067,2025-01,162887000,83327277,12769000,15,95,23,66790723,133
10000067,2025-02,89385000,13679227,946000,13,75,11,74759773,99
10000067,2025-03,126629000,10426973,1623186,11,53,11,114578841,75
10000067,2025-04,127085000,29277000,2899000,12,45,8,94909000,65
10000067,2025-05,89891000,42986587,6238000,7,94,12,40666413,113
10000067,2025-06,45901000,11702704,1218000,10,85,10,32980296,105
10000068,2025-01,282676000,46085839,11521000,15,86,28,225069161,129
10000068,2025-02,58186000,11791397,4708000,5,49,16,41686603,71
10000068,2025-03,92406012,45060146,15178000,7,58,19,32167866,84
10000068,2025-04,174798000,46688338,8314000,14,77,17,119795662,108
10000068,2025-05,205342000,72879668,6388000,16,79,12,126074332,108
10000068,2025-06,104375000,26377580,6379000,10,52,22,71618420,84
10000069,2025-01,169896994,110093506,24098000,15,106,28,35705488,149
10000069,2025-02,102212000,39798028,1446000,8,43,12,60967972,63
10000069,2025-03,74832000,33838888,7421000,7,85,26,33572112,118
10000069,2025-04,40378568,30406715,12742012,4,87,34,-2770159,125
10000069,2025-05,94502000,36111845,7107254,7,78,25,51282901,110
10000069,2025-06,72180000,5241245,1117000,7,59,21,65821755,87
